/vout X,/vout Y,/dac_out X,/dac_out Y,/I5/PM0/D X,/I5/PM0/D Y,/I5/vbody X,/I5/vbody Y
8.290436915908836e-09,0.9943314419480648,8.290436915908836e-09,0,8.290436915908836e-09,-2.51343150511702e-07,8.290436915908836e-09,0.7995624084504325
9.67290828748719e-09,0.9945070569491685,9.67290828748719e-09,0,9.67290828748719e-09,-2.513291452141307e-07,9.67290828748719e-09,0.8068002605055459
1.1386244873835e-08,0.9947159756673883,1.1386244873835e-08,0,1.1386244873835e-08,-2.480121992689018e-07,1.1386244873835e-08,0.8141967194614613
1.357011149626244e-08,0.9949717128881814,1.357011149626244e-08,0,1.357011149626244e-08,-2.410074159308109e-07,1.357011149626244e-08,0.8219178823154111
1.63462720990045e-08,0.995281639397993,1.63462720990045e-08,0,1.63462720990045e-08,-2.299824917504591e-07,1.63462720990045e-08,0.8298876989655704
1.973934282911183e-08,0.9956380649601473,1.973934282911183e-08,0,1.973934282911183e-08,-2.15312854395152e-07,1.973934282911183e-08,0.837761775213225
2.388507317053381e-08,0.9960407397736765,2.388507317053381e-08,0,2.388507317053381e-08,-1.972469250148847e-07,2.388507317053381e-08,0.8455416958461912
2.895439411881022e-08,0.9964861791995424,2.895439411881022e-08,0,2.895439411881022e-08,-1.761809503300814e-07,2.895439411881022e-08,0.8532377730937287
3.517888336414417e-08,0.99696795463471,3.517888336414417e-08,0,3.517888336414417e-08,-1.526048480094117e-07,3.517888336414417e-08,0.8608865391376838
4.281748790404586e-08,0.9974722556208444,4.281748790404586e-08,0,4.281748790404586e-08,-1.273781960075691e-07,4.281748790404586e-08,0.8684843062693696
5e-08,0.997870257327538,5e-08,0,5e-08,-1.072028494993616e-07,5e-08,0.8743685810574071
5.050025000041666e-08,0.9978951105032345,5.050025000041666e-08,0,5.050025000041666e-08,-1.059357849012737e-07,5.050025000041666e-08,0.8747321663556579
5.1e-08,0.997919742846584,5.1e-08,0,5.1e-08,-1.046799768295676e-07,5.1e-08,0.8750929445146227
5.100025000041666e-08,0.9979197551197914,5.100025000041666e-08,0,5.100025000041666e-08,-1.046793513528153e-07,5.100025000041666e-08,0.8750931243823433
5.100075000124998e-08,0.9979197796660725,5.100075000124998e-08,0,5.100075000124998e-08,-1.046780997719026e-07,5.100075000124998e-08,0.8750934841142365
5.100175000291663e-08,0.9979198287579498,5.100175000291663e-08,0,5.100175000291663e-08,-1.046755968741611e-07,5.100175000291663e-08,0.8750942035693835
5.100375000624992e-08,0.9979199269382246,5.100375000624992e-08,0,5.100375000624992e-08,-1.046705912911003e-07,5.100375000624992e-08,0.875095642438073
5.100775001291649e-08,0.9979201232849165,5.100775001291649e-08,0,5.100775001291649e-08,-1.04660580435506e-07,5.100775001291649e-08,0.8750985200034527
5.101575002624965e-08,0.9979205159216347,5.101575002624965e-08,0,5.101575002624965e-08,-1.046405609117669e-07,5.101575002624965e-08,0.8751042744404521
5.103175005291596e-08,0.9979213009688573,5.103175005291596e-08,0,5.103175005291596e-08,-1.046005312994202e-07,5.103175005291596e-08,0.8751157805318983
5.106375010624858e-08,0.9979228701606195,5.106375010624858e-08,0,5.106375010624858e-08,-1.045205141853031e-07,5.106375010624858e-08,0.8751387815722742
5.112775021291381e-08,0.9979260049412312,5.112775021291381e-08,0,5.112775021291381e-08,-1.04360655876654e-07,5.112775021291381e-08,0.8751847391136112
5.125575042624429e-08,0.9979322601244742,5.125575042624429e-08,0,5.125575042624429e-08,-1.040416481653247e-07,5.125575042624429e-08,0.8752764765893861
5.150050000083333e-08,0.9979441675065086,5.150050000083333e-08,0,5.150050000083333e-08,-1.034342964321991e-07,5.150050000083333e-08,0.8754512330098227
5.1750375000625e-08,0.9979562525304044,5.1750375000625e-08,0,5.1750375000625e-08,-1.028177667578348e-07,5.1750375000625e-08,0.8756287683753653
5.200025000041666e-08,0.9979682654734587,5.200025000041666e-08,0,5.200025000041666e-08,-1.022047987137429e-07,5.200025000041666e-08,0.8758054218424456
5.200050000083333e-08,0.9979682774563317,5.200050000083333e-08,0,5.200050000083333e-08,-1.022041872066322e-07,5.200050000083333e-08,0.8758055981425297
5.200100000166667e-08,0.9979683014217537,5.200100000166667e-08,0,5.200100000166667e-08,-1.022029642793197e-07,5.200100000166667e-08,0.8758059507391854
5.200200000333334e-08,0.9979683493518515,5.200200000333334e-08,0,5.200200000333334e-08,-1.022005184273853e-07,5.200200000333334e-08,0.8758066559240877
5.200400000666668e-08,0.997968445208822,5.200400000666668e-08,0,5.200400000666668e-08,-1.021956267523564e-07,5.200400000666668e-08,0.8758080662536337
5.200800001333336e-08,0.9979686369089632,5.200800001333336e-08,0,5.200800001333336e-08,-1.021858442252683e-07,5.200800001333336e-08,0.8758108867461575
5.201600002666673e-08,0.9979690202542115,5.201600002666673e-08,0,5.201600002666673e-08,-1.021662818025428e-07,5.201600002666673e-08,0.8758165270609365
5.203200005333346e-08,0.9979697867245186,5.203200005333346e-08,0,5.203200005333346e-08,-1.021271678328588e-07,5.203200005333346e-08,0.8758278050070786
5.206400010666693e-08,0.9979713187843653,5.206400010666693e-08,0,5.206400010666693e-08,-1.020489834315523e-07,5.206400010666693e-08,0.8758503501715319
5.212800021333386e-08,0.9979743793839349,5.212800021333386e-08,0,5.212800021333386e-08,-1.018927887237431e-07,5.212800021333386e-08,0.8758953976572861
5.225600042666772e-08,0.99798048653029,5.225600042666772e-08,0,5.225600042666772e-08,-1.015810945174541e-07,5.225600042666772e-08,0.8759853218183098
5.250075000125e-08,0.9979921120536258,5.250075000125e-08,0,5.250075000125e-08,-1.009876752221966e-07,5.250075000125e-08,0.8761566359945491
5.275062500104167e-08,0.9980039109449382,5.275062500104167e-08,0,5.275062500104167e-08,-1.003852998944719e-07,5.275062500104167e-08,0.8763306905158686
5.300050000083333e-08,0.9980156393988823,5.300050000083333e-08,0,5.300050000083333e-08,-9.978641546862838e-08,5.300050000083333e-08,0.8765038965238722
5.300075000125e-08,0.9980156510979251,5.300075000125e-08,0,5.300075000125e-08,-9.978581805725538e-08,5.300075000125e-08,0.8765040693914945
5.300125000208334e-08,0.9980156744957032,5.300125000208334e-08,0,5.300125000208334e-08,-9.978462323447537e-08,5.300125000208334e-08,0.8765044151233607
5.300225000375001e-08,0.998015721290524,5.300225000375001e-08,0,5.300225000375001e-08,-9.978223361128578e-08,5.300225000375001e-08,0.8765051065789997
5.300425000708335e-08,0.9980158148770443,5.300425000708335e-08,0,5.300425000708335e-08,-9.977745436994998e-08,5.300425000708335e-08,0.8765064894515507
5.300825001375003e-08,0.9980160020369153,5.300825001375003e-08,0,5.300825001375003e-08,-9.976789663380351e-08,5.300825001375003e-08,0.8765092550364708
5.30162500270834e-08,0.9980163763028209,5.30162500270834e-08,0,5.30162500270834e-08,-9.974878389058981e-08,5.30162500270834e-08,0.8765147855612554
5.303225005375013e-08,0.9980171246193408,5.303225005375013e-08,0,5.303225005375013e-08,-9.97105690233106e-08,5.303225005375013e-08,0.8765258440284149
5.30642501070836e-08,0.9980186203916712,5.30642501070836e-08,0,5.30642501070836e-08,-9.963418195776776e-08,5.30642501070836e-08,0.8765479506388039
5.312825021375053e-08,0.9980216084969089,5.312825021375053e-08,0,5.312825021375053e-08,-9.948157842507189e-08,5.312825021375053e-08,0.8765921226283534
